source_path,recovered_path,output_folder,file,bench,prompt_id,seed,condition,recovered_sha256
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_6_rotX_+30.0_00001_.png,rotations,Block_6_rotX_+30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,c8e79c650e49ecccf2f6067a35c74846cb2f214852fe81ce439cea5857fbd65a
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_6_rotX_-15.0_00001_.png,rotations,Block_6_rotX_-15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,15af8e781ea4b99335e33b0e74130fa336d049f7903446ec6ce3ae3c49d3a446
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_6_rotX_-30.0_00001_.png,rotations,Block_6_rotX_-30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,82009e017622b04ecb58fa041023fc5634a8e781818c195d9ce2f437c41390eb
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\00_baseline_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\00_baseline_00001_.png,benchmark_elf_brawler,00_baseline_00001_.png,pilot_rotations,elf_brawler,4242145,baseline,89d8c6de0fde3c287cb7c9ee2d3955dd4c67c18876987db4437108ed7c479a5e
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_1_rotX_+15.0_00001_.png,rotations,Block_1_rotX_+15.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,65b4fde83f4e342f949fb0c7b6165d969202fcd639d432ef5cb7c320d53a686d
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_1_rotX_+30.0_00001_.png,rotations,Block_1_rotX_+30.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,7cb2b69f7afed2277b19026d9325deb390d3f1bebab132891e84c8ddc94094ec
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_1_rotX_-15.0_00001_.png,rotations,Block_1_rotX_-15.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,a6ecc0684472cb0e3a34e43815859c09ce1725f19973a43604985a92a44c5f21
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_1_rotX_-30.0_00001_.png,rotations,Block_1_rotX_-30.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,8d891b84378c939614e4ba35e1ad82b0fad065c103e5323f7332069de653467d
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_2_rotX_+15.0_00001_.png,rotations,Block_2_rotX_+15.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,1e954561388389c5c2696472aefd119533ab079b2d6cb71106e1603c5c5a422f
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_2_rotX_+30.0_00001_.png,rotations,Block_2_rotX_+30.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,d31fbf70662210f8a9fe3c6f245ba71fc30ab96de2b34cdcdb18abc2a76d58e1
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_2_rotX_-15.0_00001_.png,rotations,Block_2_rotX_-15.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,4316ae49b957c22c51d5ed9fb708f8528b3f68663f7549f4446d494926a42752
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_2_rotX_-30.0_00001_.png,rotations,Block_2_rotX_-30.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,058bce520115aec61adf6c2797c727bb3d700e334e450baaf59a2cd2d15ec412
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_3_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_3_rotX_+15.0_00001_.png,rotations,Block_3_rotX_+15.0_00001_.png,pilot_rotations,elf_brawler,4242145,rotX,54e1f2384019ca389f4fefe5bfad97418fbde3359aa3c91f75e2488b3165d011
