view_order,hash_id,prompt_id,cond_name,seed,is_duplicate,orig_hash_id,score
201,ee9f922fd97c,S10_synthwave,blockshuf_neg_1x,42,0,ee9f922fd97c,SPENTO
202,ef711f402d81,S03_cyberpunk,preset_pos_2x,4242145,0,ef711f402d81,ACCESO
203,f02ded303f4a,S04_gouache,preset_pos_2x,42,0,f02ded303f4a,SPENTO
204,f1d2fa8480c4,S08_papercraft,blockshuf_neg_2x,9999,0,f1d2fa8480c4,SPENTO
205,f5e3d602fc37,S01_oil,blockshuf_neg_1x,9999,0,f5e3d602fc37,SPENTO
206,f7e7adc29fb7,S05_pencil,baseline,9999,0,f7e7adc29fb7,SPENTO
207,f86705feff38,S02_linocut,blockshuf_neg_2x,9999,0,f86705feff38,SPENTO
208,f95730b9df37,S04_gouache,preset_pos_2x,4242145,0,f95730b9df37,SPENTO
209,f9c6709c826f,S10_synthwave,baseline,9999,0,f9c6709c826f,SPENTO
210,f9e7b21e6b6e,S05_pencil,blockshuf_neg_2x,777,0,f9e7b21e6b6e,SPENTO
211,fa42c37bad5b,S01_oil,preset_pos_2x,4242145,0,fa42c37bad5b,SPENTO
212,fa988a6fbd19,S02_linocut,blockshuf_neg_2x,777,0,fa988a6fbd19,SPENTO
213,fabc99507953,S01_oil,baseline,777,0,fabc99507953,SPENTO
214,fb441810d672,S09_fresco,preset_pos_2x,777,0,fb441810d672,SPENTO
215,fb94da5e4069,S04_gouache,preset_pos_2x,777,0,fb94da5e4069,SPENTO
216,fd6fff5af466,S10_synthwave,blockshuf_neg_1x,1337,0,fd6fff5af466,SPENTO
217,feaabc1fd8fd,S07_comic,blockshuf_neg_1x,4242145,0,feaabc1fd8fd,SPENTO
218,fed81ba6d52c,S09_fresco,baseline,4242145,0,fed81ba6d52c,SPENTO
219,ff0da955ae03,S09_fresco,preset_pos_2x,4242145,0,ff0da955ae03,SPENTO
220,ffe310d79763,S04_gouache,blockshuf_neg_2x,42,0,ffe310d79763,SPENTO
